Raw Text Match,Spacy Match,Spillover (in raw match but not in spacy match)
audience,fox,audience
facebook,nasdaq,planet fitness
west,nike,ball
twitter,boeing,sleep number
now,intel,new home
joint,No Matches,homes
box,eastern,dana
planet fitness,apple,lindsay
square,spirit airlines,crush
line,microsoft,ability
snap,dow,local
best,bank of america,cascade
southern,general motors,spire
fox,exxon mobil,determine
dow,starbucks,parkway
health,gannett,rogers
courier,visa,finish line
eastern,new york times,financial institutions
energy,time warner cable,stamps com
ball,hormel foods,lockheed martin
unit,barnes & noble,woodward
team,sony,news new
pool,chase,pike
waters,dell,amazon com
guess,aol,nutrisystem
aware,general electric,coherent
orange,yahoo,dover
sleep number,citigroup,lendingtree
move,walmart,hanger
netflix,american international group,intest
apple,american express,hot topic
new home,ann,exa
homes,nokia,tuesday morning
chase,united therapeutics,workday
switch,costa,first national
buckle,orange,designer brands
dana,humana,cars com
lindsay,directv,pantry
crush,cae,monro
ability,mcdonalds,pinterest
chubb,kt,cowen
graham,northrop grumman,lands end
progressive,norfolk southern,new gold
bandwidth,southwest airlines,my size
local,union pacific,argan
continental resources,western union,beam
cascade,ebay,knoll
citizens,facebook,con way
new york times,tesco,No Hits
target,hershey,escalade
sony,carnival,constant contact
aflac,caterpillar,tapestry
home depot,energy,red hat
imax,coca cola,citizens first
huntsman,united parcel service,rollins
boise,adt,under armour
popular,verizon communications,conversant
clorox,hyatt hotels,whirlpool
kirby,target,cubic
spire,equifax,telus
ennis,crane,american independence
intel,kellogg,3m
ann,quantum,fluent
exxon mobil,aflac,knowles
yahoo,harley davidson,brunswick
determine,caribou coffee,dicks sporting goods
godaddy,abercrombie & fitch,elastic
parkway,johnson & johnson,reeds
discovery,polaris,oshkosh
rogers,nic,vapor
staples,mattel,parsons
finish line,masco,rocket fuel
banner,dolan,snap on
financial institutions,delta air lines,resonant
stamps com,pfizer,urban outfitters
lockheed martin,west,five 9
woodward,procter & gamble,wd 40
news new,now,thestreet
jones group,regal entertainment group,aecom
directv,revlon,international speedway
pike,meredith,igate
kellogg,orbital sciences,veru
allstate,cts,ruby tuesday
general electric,pinnacle foods,radioshack
freshpet,itt,intersections
amazon com,northwestern,clps
express,kyocera,brp
gap,cray,forward air
anthem,biogen,raymond james financial
itt,nts,immersion
hasbro,dow chemical,pall
lear,alphabet,otter tail
general motors,illinois tool works,digital generation
cactus,netflix,national research
nutrisystem,hawkins,meridian
nasdaq,pepsico,ambient
boeing,kla,one gas
dell,sonic,cabot
deluxe,xp,aes
dts,health,city holding
apache,newport,hollywood media
united technologies,mastercard,harmonic
coherent,ihs,arctic cat
coca cola,edison international,domo
canon,cache,invacare
fitbit,express,key technology
mcdonalds,smithfield foods,skywest
carnival,home depot,profound medical
starbucks,saks,washington federal
erickson,american electric power,hilton grand vacations
centurylink,trulia,intermec
truecar,shake shack,canaan
tesla,,first united
dover,unilever,griffon
microsoft,volcano,cerner
gopro,pg & e,lifelock
lendingtree,cisco systems,gogo
walmart,marcus,fortis
visa,allstate,everyday health
cree,maximus,canopy growth
brady,united technologies,sina
toyota motor,imax,blackline
sears holdings,national healthcare,market leader
volcano,thomson reuters,dennys
premier,intuit,trivago
brinks,cgi,fortress biotech
cache,general dynamics,exponent
spirit airlines,spectra energy,z boy
delta air lines,bed bath & beyond,time new
hanger,huntsman,applied materials
oracle,adobe,actua
xp,lyft,penumbra
interface,united states energy,buffalo wild wings
intest,general mills,anadarko petroleum
dow chemical,panasonic,communications systems
qualcomm,kbr,actuate
hot topic,eastman kodak,care com
seaboard,galapagos,first financial
