,gvkey,permno,ticker,names.firms,names.firms.1,regexes,done
0,122519,87162,FLWS,1-800-FLOWERS.COM,1-800-FLOWERS.COM,1.?800.?FLOWERS*,1
1,1906,16030,AVHI,A V HOMES INC,A V HOMES,,1
2,19172,14532,AMRK,A-MARK PRECIOUS METALS INC,A-MARK PRECIOUS METALS,A.?MARK PRECIOUS METALS,1
3,179288,92528,AHC,A. H. BELO CORP,A. H. BELO,A\.? H\.?  BELO,1
4,1004,54594,AIR,AAR CORP,AAR,,1
5,24005,76888,AXAS,ABRAXAS PETROLEUM CORP/NV,ABRAXAS PETROLEUM,,1
6,178855,92381,ABII,ABRAXIS BIOSCIENCE INC,ABRAXIS BIOSCIENCE,,1
7,26722,16051,ACIA,ACACIA COMMUNICATIONS INC,ACACIA COMMUNICATIONS,,1
8,61004,89611,ACTG,ACACIA RESEARCH CORP,ACACIA RESEARCH,,1
9,192255,13105,ACHC,ACADIA HEALTHCARE CO INC,ACADIA HEALTHCARE,ACADIA HEALTH*,1
10,21118,84184,AXDX,ACCELERATE DIAGNOSTICS INC,ACCELERATE DIAGNOSTICS,,1
11,61656,82734,ACCL,ACCELRYS INC,ACCELRYS,,1
12,164506,90825,ACCO,ACCO BRANDS CORP,ACCO BRANDS,,1
13,145979,90643,ACW,ACCURIDE CORP,ACCURIDE,,1
14,185908,12573,ACRX,ACELRX PHARMACEUTICALS INC,ACELRX PHARMA*,ACELRX PHARMA*,1
15,174136,91491,ACHN,ACHILLION PHARMACEUTICALS,ACHILLION PHARMA*,ACHILLION PHARMA*,1
16,31564,81282,ACIW,ACI WORLDWIDE INC,ACI WORLDWIDE,,1
17,25904,15775,ACRS,ACLARIS THERAPEUTICS INC,ACLARIS THERAPEUTICS,,1
18,175111,91493,APKT,ACME PACKET INC,ACME PACKET,,1
19,1104,60038,ACU,ACME UNITED CORP,ACME UNITED,,1
20,156617,91086,ACOR,ACORDA THERAPEUTICS INC,ACORDA THERAPEUTICS,,1
21,230796,89678,ACTI,ACTIVIDENTITY CORP,ACTIVIDENTITY,,1
22,122536,87167,ACTA,ACTUA CORP,ACTUA,,1
23,112624,86236,BIRT,ACTUATE CORP,ACTUATE,ACTUATE CORP*,1
24,146017,89216,AYI,ACUITY BRANDS INC,ACUITY BRANDS,,1
25,27575,16434,GOLF,ACUSHNET HOLDINGS CORP,ACUSHNET,,1
26,183283,93073,ADUS,ADDUS HOMECARE CORP,ADDUS HOMECARE,,1
27,24428,76869,AEY,ADDVANTAGE TECHNOLOGIES GP,ADDVANTAGE TECH*,ADDVANTAGE TECH*,1
28,61726,82664,ADEP,ADEPT TECHNOLOGY INC,ADEPT TECH*,ADEPT TECH*,1
29,26187,15786,IOTS,ADESTO TECHNOLOGIES CORP,ADESTO TECH*,ADESTO TECH*,1
30,32930,17223,ADT,ADT INC,ADT,,1
31,3905,76708,ATGE,ADTALEM GLOBAL EDUCATION INC,ADTALEM GLOBAL EDUCATION,ADTALEM*,1
32,30576,80791,ADTN,ADTRAN INC,ADTRAN,,1
33,145977,89217,AAP,ADVANCE AUTO PARTS INC,ADVANCE AUTO PARTS,,1
34,163679,90854,AATI,ADVANCED ANALOGIC TECH,ADVANCED ANALOGIC TECH,,1
35,20126,14759,WMS,ADVANCED DRAINAGE SYSTEMS,ADVANCED DRAINAGE SYSTEMS,,1
36,156578,90400,ADES,ADVANCED EMISSIONS SOLUTIONS,ADVANCED EMISSIONS SOLUTIONS,,1
37,61562,82547,AEIS,ADVANCED ENERGY INDS INC,ADVANCED ENERGY INDUSTRIES,,1
38,1161,61241,AMD,ADVANCED MICRO DEVICES,ADVANCED MICRO DEVICES,,1
39,28070,16276,ASIX,ADVANSIX INC,ADVANSIX,,1
40,61557,82546,ADVS,ADVENT SOFTWARE INC,ADVENT SOFTWARE,,1
41,21020,14790,ADVM,ADVERUM BIOTECHNOLOGIES,ADVERUM BIOTECH*,,1
42,145042,89203,ABCO,ADVISORY BOARD CO,ADVISORY BOARD,ADVISORY BOARD CO*,1
43,147988,91975,ACM,AECOM,AECOM,,1
44,5978,44274,AEGN,AEGION CORP,AEGION,,1
45,24599,16005,AGLE,AEGLEA BIOTHERAPEUTICS INC,AEGLEA BIOTHERAPEUTICS,AEGLEA,1
46,65286,85272,AEHR,AEHR TEST SYSTEMS,AEHR TEST SYSTEMS,AEHR,1
47,18749,14238,AERI,AERIE PHARMACEUTICALS INC,AERIE PHARMA*,,1
48,184639,12364,ARX,AEROFLEX HOLDING CORP,AEROFLEX,,1
49,19898,14498,HIVE,AEROHIVE NETWORKS INC,AEROHIVE NETWORKS,AEROHIVE,1
50,176362,91733,AVAV,AEROVIRONMENT INC,AEROVIRONMENT,,1
51,24216,76712,AES,AES CORP (THE),AES,,1
52,1177,88845,AET,AETNA INC,AETNA,,1
53,30697,80913,ACS,AFFILIATED COMPUTER SERVICES,AFFILIATED COMPUTER SERVICES,,1
54,65886,85593,AMG,AFFILIATED MANAGERS GRP INC,AFFILIATED MANAGERS,,
